file_path,Client,Common,E2E,UI,best_module,best_likelihood
teammates\src\test\java\teammates\common\util\UrlTest.java,0.07033025877816336,3457.274055480957,0.3933200291224888,0.1353809084211077,Common,3457.274055480957
teammates\src\client\java\teammates\client\scripts\package-info.java,3792.722587585449,0.0,0.0,0.0,Client,3792.722587585449
teammates\src\test\java\teammates\logic\api\EmailSenderTest.java,0.004092778904097421,0.01607182196208409,0.11428782599312919,0.1796504020690918,UI,0.1796504020690918
teammates\src\test\java\teammates\logic\core\InstructorsLogicTest.java,0.12409764698573521,0.2100609643118722,0.9756811959402901,0.3056575230189732,E2E,0.9756811959402901
teammates\src\test\java\teammates\common\util\SanitizationHelperTest.java,0.06152787208557129,3102.7310943603516,0.4847788674490792,0.17155839375087192,Common,3102.7310943603516
teammates\src\e2e\java\teammates\e2e\cases\StudentHomePageE2ETest.java,0.023558075087411062,0.020761169706072127,3018.8469314575195,0.03487278393336705,E2E,3018.8469314575195
teammates\src\e2e\java\teammates\e2e\pageobjects\AppPage.java,0.23661349160330636,0.17610716138567242,3010.5912017822266,1.2027991158621651,E2E,3010.5912017822266
teammates\src\test\java\teammates\ui\webapi\FeedbackSessionClosingRemindersActionTest.java,0.1219071524483817,0.15622149876185826,0.053839986664908274,2161.2498664855957,UI,2161.2498664855957
teammates\src\e2e\java\teammates\e2e\cases\axe\InstructorStudentActivityLogsPageAxeTest.java,0.024828946590423583,0.021794770445142473,3106.0451889038086,0.011452051571437291,E2E,3106.0451889038086
teammates\src\test\java\teammates\ui\webapi\GetInstructorActionTest.java,0.01349471892629351,0.0573664733341762,0.6175922393798828,2210.265407562256,UI,2210.265407562256
teammates\src\test\java\teammates\ui\webapi\UpdateNotificationActionTest.java,0.039959866659981864,0.12311874117170062,0.5978473663330078,2385.60359954834,UI,2385.60359954834
teammates\src\test\java\teammates\ui\webapi\GetStudentActionTest.java,0.00725740875516619,0.046869325637817386,0.548473140171596,2111.303997039795,UI,2111.303997039795
teammates\src\test\java\teammates\logic\external\GoogleRecaptchaServiceTest.java,1.0067955017089845,0.0740532330104283,0.490549795968192,0.624513680594308,Client,1.0067955017089845
teammates\src\test\java\teammates\ui\webapi\BaseActionTest.java,0.07358267647879464,0.2287654059273856,0.05390029634748186,2320.894775390625,UI,2320.894775390625
teammates\src\test\java\teammates\common\datatransfer\questions\FeedbackNumericalScaleQuestionDetailsTest.java,0.03491198335375104,3053.345718383789,0.6551640101841518,0.06260039465767997,Common,3053.345718383789
teammates\src\test\java\teammates\ui\webapi\SubmitFeedbackResponsesActionTest.java,0.03789617674691337,0.12825374603271483,0.18978298732212612,1736.4748573303223,UI,1736.4748573303223
teammates\src\test\java\teammates\common\datatransfer\SessionResultsBundleTest.java,0.032641758237566265,3195.5078506469727,0.1498899187360491,0.034935099737984796,Common,3195.5078506469727
teammates\src\test\java\teammates\ui\webapi\GetAuthInfoActionTest.java,0.008020940848759242,0.05880453245980399,0.044753919328962055,2375.4372787475586,UI,2375.4372787475586
teammates\src\test\java\teammates\storage\api\FeedbackResponseCommentsDbTest.java,0.06995350292750767,1.2986695425851005,0.20727743421282088,0.05558464186532157,Common,1.2986695425851005
teammates\src\test\java\teammates\ui\webapi\GetFeedbackSessionActionTest.java,0.12276866095406669,0.1414151736668178,0.48822321210588726,1578.4123611450195,UI,1578.4123611450195
teammates\src\e2e\java\teammates\e2e\cases\axe\InstructorSessionIndividualExtensionPageAxeTest.java,0.0254021269934518,0.02164085762841361,3058.072395324707,0.01137117828641619,E2E,3058.072395324707
teammates\src\test\java\teammates\ui\webapi\DeleteStudentActionTest.java,1.2001611982073104,0.017670765944889612,0.04558648041316441,2273.989028930664,UI,2273.989028930664
teammates\src\e2e\java\teammates\e2e\cases\AdminHomePageE2ETest.java,0.09490088054112025,0.10696212904793875,2865.443687438965,0.07595316341945103,E2E,2865.443687438965
teammates\src\test\java\teammates\ui\webapi\DeleteInstructorActionTest.java,0.006540585841451373,0.03575577735900879,0.9136350904192243,1980.7235717773438,UI,1980.7235717773438
teammates\src\test\java\teammates\ui\webapi\GetFeedbackQuestionRecipientsActionTest.java,0.0437457697732108,0.21301565170288086,0.15324822834559848,2127.620792388916,UI,2127.620792388916
teammates\src\test\java\teammates\ui\webapi\RemindFeedbackSessionSubmissionActionTest.java,0.007591608592442104,0.01802950756890433,0.5572174617222377,2473.1196212768555,UI,2473.1196212768555
teammates\src\e2e\java\teammates\e2e\pageobjects\AdminTimezonePage.java,0.09961979729788643,0.1307328360421317,2596.375312805176,0.031113035338265555,E2E,2596.375312805176
teammates\src\client\java\teammates\client\scripts\DataMigrationForNullCommentGiverType.java,3769.330596923828,1.5669945853097098,0.07915780884878976,0.05496806417192732,Client,3769.330596923828
teammates\src\test\java\teammates\logic\api\MockUserProvision.java,0.0,0.032003021240234374,0.04186537265777588,1.5415503365652903,UI,1.5415503365652903
teammates\src\test\java\teammates\ui\webapi\CreateNotificationActionTest.java,0.010326686927250453,0.08609030587332589,0.2470961162022182,2384.8169326782227,UI,2384.8169326782227
teammates\src\test\java\teammates\storage\api\FeedbackSessionsDbTest.java,0.06982724325997489,0.12728613444737025,0.779273441859654,0.05969690595354352,E2E,0.779273441859654
teammates\src\test\java\teammates\ui\webapi\JsonResultTest.java,0.0,0.04749227932521275,0.04893589700971331,2367.6461791992188,UI,2367.6461791992188
